ISIN,Strategy Key,Language,Fund Name,Currency,Last Updated Date,Text
LU1350351141,48634,zh-HK,Franklin NextStep Balanced Growth Fund A(acc)HKD,HKD,2024-08-06 04:56:41,
LU1350351141,48634,zh-CN,Franklin NextStep Balanced Growth Fund A(acc)HKD,HKD,2024-08-06 04:56:41,
LU1350350846,47221,en,Franklin NextStep Balanced Growth Fund A(acc)USD,USD,2024-08-06 04:56:41,April 2024
LU1350350846,47221,zh-HK,Franklin NextStep Balanced Growth Fund A(acc)USD,USD,2024-08-06 04:56:41,
LU1350350846,47221,zh-CN,Franklin NextStep Balanced Growth Fund A(acc)USD,USD,2024-08-06 04:56:41,
LU1350351224,48633,en,Franklin NextStep Balanced Growth Fund A(Mdis)HKD,HKD,2024-08-06 04:56:41,April 2024
LU1350351224,48633,zh-HK,Franklin NextStep Balanced Growth Fund A(Mdis)HKD,HKD,2024-08-06 04:56:41,
LU1350351224,48633,zh-CN,Franklin NextStep Balanced Growth Fund A(Mdis)HKD,HKD,2024-08-06 04:56:41,
LU1350351067,47223,en,Franklin NextStep Balanced Growth Fund A(Mdis)USD,USD,2024-08-06 04:56:41,April 2024
LU1350351067,47223,zh-HK,Franklin NextStep Balanced Growth Fund A(Mdis)USD,USD,2024-08-06 04:56:41,
LU1350351067,47223,zh-CN,Franklin NextStep Balanced Growth Fund A(Mdis)USD,USD,2024-08-06 04:56:41,
LU1350351810,48631,en,Franklin NextStep Dynamic Growth Fund A(acc)HKD,HKD,2024-03-24 12:44:34,April 2023
LU1350351810,48631,zh-CN,Franklin NextStep Dynamic Growth Fund A(acc)HKD,HKD,2024-03-24 12:44:34,
LU1350351810,48631,zh-HK,Franklin NextStep Dynamic Growth Fund A(acc)HKD,HKD,2024-03-24 12:44:34,
LU1350351653,47225,en,Franklin NextStep Dynamic Growth Fund A(acc)USD,USD,2024-03-24 12:44:34,April 2023
LU1350351653,47225,zh-CN,Franklin NextStep Dynamic Growth Fund A(acc)USD,USD,2024-03-24 12:44:34,
