STRATEGYKEY,TICKERNAME,ISIN,CCY,ACTIVE,LOCALE,DOCDATE,EXTERNALURL
52569,BlackRock Global Funds - Systematic Global Equity High Income Fund A6 USD,LU1116320737,USD,true,zh_TW,2024-04-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F00000UKBR&documenttype=76&market=1447&investmenttype=1&frame=0
52569,BlackRock Global Funds - Systematic Global Equity High Income Fund A6 USD,LU1116320737,USD,true,en,2024-04-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F00000UKBR&documenttype=76&market=1447&investmenttype=1&frame=0
52570,BlackRock Global Funds - Systematic Global Equity High Income Fund A8 NZD Hedged,LU1116319648,NZD,true,zh_TW,2024-04-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F00000UKBU&documenttype=76&market=1447&investmenttype=1&frame=0
52570,BlackRock Global Funds - Systematic Global Equity High Income Fund A8 NZD Hedged,LU1116319648,NZD,true,en,2024-04-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F00000UKBU&documenttype=76&market=1447&investmenttype=1&frame=0
52571,BlackRock Global Funds - Systematic Global Equity High Income Fund A6 Hedged GBP,LU1116319994,GBP,true,zh_TW,2024-04-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F00000UL96&documenttype=76&market=1447&investmenttype=1&frame=0
52571,BlackRock Global Funds - Systematic Global Equity High Income Fund A6 Hedged GBP,LU1116319994,GBP,true,en,2024-04-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F00000UL96&documenttype=76&market=1447&investmenttype=1&frame=0
52572,BlackRock Global Funds - Systematic Global Equity High Income Fund A8 Hedged AUD,LU1116320141,AUD,true,zh_TW,2024-04-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F00000UKBT&documenttype=76&market=1447&investmenttype=1&frame=0
52572,BlackRock Global Funds - Systematic Global Equity High Income Fund A8 Hedged AUD,LU1116320141,AUD,true,en,2024-04-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F00000UKBT&documenttype=76&market=1447&investmenttype=1&frame=0
52573,BlackRock Global Funds - Systematic Global Equity High Income Fund A6 Hedged HKD,LU1116320901,HKD,true,zh_TW,2024-04-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F00000UKBS&documenttype=76&market=1447&investmenttype=1&frame=0
52573,BlackRock Global Funds - Systematic Global Equity High Income Fund A6 Hedged HKD,LU1116320901,HKD,true,en,2024-04-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F00000UKBS&documenttype=76&market=1447&investmenttype=1&frame=0
