STRATEGYKEY,TICKERNAME,ISIN,CCY,ACTIVE,LOCALE,DOCDATE,EXTERNALURL,Date from ecura DB,Status as of 21/9/2024,Days since last updated in TTS DB,Days since last updated from PDF File
164918,Invesco Funds - Invesco Emerging Markets ex-China Equity Fund A Annual Distribution USD,LU1775963454,USD,True,en,2018-10-08,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F000010P22&documenttype=76&market=1452&investmenttype=1&frame=0,2024-04-01,date is not updated in fund universe,173.0,2175
164919,Invesco Funds - Invesco Pacific Equity Fund B Annual Distribution USD,LU1775963611,USD,False,zh_TW,2024-04-29,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000010P23&documenttype=76&market=1447&investmenttype=1&frame=0,2024-04-01,Up to date,173.0,145
164919,Invesco Funds - Invesco Pacific Equity Fund B Annual Distribution USD,LU1775963611,USD,False,zh_TW,2018-10-08,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000010P23&documenttype=76&market=1444&investmenttype=1&frame=0,2024-04-01,date is not updated in fund universe,173.0,2175
164919,Invesco Funds - Invesco Pacific Equity Fund B Annual Distribution USD,LU1775963611,USD,False,zh_TW,2018-10-08,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000010P23&documenttype=76&market=1452&investmenttype=1&frame=0,2024-04-01,date is not updated in fund universe,173.0,2175
164919,Invesco Funds - Invesco Pacific Equity Fund B Annual Distribution USD,LU1775963611,USD,False,en,2024-04-29,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F000010P23&documenttype=76&market=1447&investmenttype=1&frame=0,2024-04-01,Up to date,173.0,145
164919,Invesco Funds - Invesco Pacific Equity Fund B Annual Distribution USD,LU1775963611,USD,False,en,2018-10-08,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F000010P23&documenttype=76&market=1444&investmenttype=1&frame=0,2024-04-01,date is not updated in fund universe,173.0,2175
164919,Invesco Funds - Invesco Pacific Equity Fund B Annual Distribution USD,LU1775963611,USD,False,en,2018-10-08,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F000010P23&documenttype=76&market=1452&investmenttype=1&frame=0,2024-04-01,date is not updated in fund universe,173.0,2175
164920,Invesco China New Perspective Equity Fund A Accumulation HKD,LU1775965152,HKD,True,zh_TW,2024-07-15,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000010P2A&documenttype=76&market=1447&investmenttype=1&frame=0,2024-04-01,Outdated,173.0,68
164920,Invesco China New Perspective Equity Fund A Accumulation HKD,LU1775965152,HKD,True,zh_TW,2018-10-08,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000010P2A&documenttype=76&market=1444&investmenttype=1&frame=0,2024-04-01,date is not updated in fund universe,173.0,2175
164920,Invesco China New Perspective Equity Fund A Accumulation HKD,LU1775965152,HKD,True,zh_TW,2018-10-08,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000010P2A&documenttype=76&market=1452&investmenttype=1&frame=0,2024-04-01,date is not updated in fund universe,173.0,2175
164920,Invesco China New Perspective Equity Fund A Accumulation HKD,LU1775965152,HKD,True,en,2024-07-15,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F000010P2A&documenttype=76&market=1447&investmenttype=1&frame=0,2024-04-01,Outdated,173.0,68
164920,Invesco China New Perspective Equity Fund A Accumulation HKD,LU1775965152,HKD,True,en,2018-10-08,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F000010P2A&documenttype=76&market=1444&investmenttype=1&frame=0,2024-04-01,date is not updated in fund universe,173.0,2175
164920,Invesco China New Perspective Equity Fund A Accumulation HKD,LU1775965152,HKD,True,en,2018-10-08,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F000010P2A&documenttype=76&market=1452&investmenttype=1&frame=0,2024-04-01,date is not updated in fund universe,173.0,2175
164921,Invesco China New Perspective Equity Fund B Annual Distribution USD,LU1775965749,USD,True,zh_TW,2024-07-15,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000010P2D&documenttype=76&market=1447&investmenttype=1&frame=0,2024-04-01,Outdated,173.0,68
164921,Invesco China New Perspective Equity Fund B Annual Distribution USD,LU1775965749,USD,True,zh_TW,2018-10-08,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000010P2D&documenttype=76&market=1444&investmenttype=1&frame=0,2024-04-01,date is not updated in fund universe,173.0,2175
164921,Invesco China New Perspective Equity Fund B Annual Distribution USD,LU1775965749,USD,True,zh_TW,2018-10-08,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000010P2D&documenttype=76&market=1452&investmenttype=1&frame=0,2024-04-01,date is not updated in fund universe,173.0,2175
164921,Invesco China New Perspective Equity Fund B Annual Distribution USD,LU1775965749,USD,True,en,2024-07-15,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F000010P2D&documenttype=76&market=1447&investmenttype=1&frame=0,2024-04-01,Outdated,173.0,68
164921,Invesco China New Perspective Equity Fund B Annual Distribution USD,LU1775965749,USD,True,en,2018-10-08,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F000010P2D&documenttype=76&market=1444&investmenttype=1&frame=0,2024-04-01,date is not updated in fund universe,173.0,2175
164921,Invesco China New Perspective Equity Fund B Annual Distribution USD,LU1775965749,USD,True,en,2018-10-08,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F000010P2D&documenttype=76&market=1452&investmenttype=1&frame=0,2024-04-01,date is not updated in fund universe,173.0,2175
164922,Invesco China New Perspective Equity Fund A (NZD Hedged) Accumulation NZD,LU1775965319,NZD,True,zh_TW,2024-07-15,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000010P2B&documenttype=76&market=1447&investmenttype=1&frame=0,2024-04-01,Outdated,173.0,68
164922,Invesco China New Perspective Equity Fund A (NZD Hedged) Accumulation NZD,LU1775965319,NZD,True,zh_TW,2018-10-08,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000010P2B&documenttype=76&market=1444&investmenttype=1&frame=0,2024-04-01,date is not updated in fund universe,173.0,2175
164922,Invesco China New Perspective Equity Fund A (NZD Hedged) Accumulation NZD,LU1775965319,NZD,True,zh_TW,2018-10-08,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000010P2B&documenttype=76&market=1452&investmenttype=1&frame=0,2024-04-01,date is not updated in fund universe,173.0,2175
164922,Invesco China New Perspective Equity Fund A (NZD Hedged) Accumulation NZD,LU1775965319,NZD,True,en,2024-07-15,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F000010P2B&documenttype=76&market=1447&investmenttype=1&frame=0,2024-04-01,Outdated,173.0,68
164922,Invesco China New Perspective Equity Fund A (NZD Hedged) Accumulation NZD,LU1775965319,NZD,True,en,2018-10-08,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F000010P2B&documenttype=76&market=1444&investmenttype=1&frame=0,2024-04-01,date is not updated in fund universe,173.0,2175
164922,Invesco China New Perspective Equity Fund A (NZD Hedged) Accumulation NZD,LU1775965319,NZD,True,en,2018-10-08,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F000010P2B&documenttype=76&market=1452&investmenttype=1&frame=0,2024-04-01,date is not updated in fund universe,173.0,2175
164923,Invesco China New Perspective Equity Fund A (CAD Hedged) Accumulation CAD,LU1775964346,CAD,True,zh_TW,2024-07-15,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000010P27&documenttype=76&market=1447&investmenttype=1&frame=0,2024-04-01,Outdated,173.0,68
164923,Invesco China New Perspective Equity Fund A (CAD Hedged) Accumulation CAD,LU1775964346,CAD,True,zh_TW,2018-10-08,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000010P27&documenttype=76&market=1444&investmenttype=1&frame=0,2024-04-01,date is not updated in fund universe,173.0,2175
164923,Invesco China New Perspective Equity Fund A (CAD Hedged) Accumulation CAD,LU1775964346,CAD,True,zh_TW,2018-10-08,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000010P27&documenttype=76&market=1452&investmenttype=1&frame=0,2024-04-01,date is not updated in fund universe,173.0,2175
164923,Invesco China New Perspective Equity Fund A (CAD Hedged) Accumulation CAD,LU1775964346,CAD,True,en,2024-07-15,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F000010P27&documenttype=76&market=1447&investmenttype=1&frame=0,2024-04-01,Outdated,173.0,68
164923,Invesco China New Perspective Equity Fund A (CAD Hedged) Accumulation CAD,LU1775964346,CAD,True,en,2018-10-08,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F000010P27&documenttype=76&market=1444&investmenttype=1&frame=0,2024-04-01,date is not updated in fund universe,173.0,2175
164923,Invesco China New Perspective Equity Fund A (CAD Hedged) Accumulation CAD,LU1775964346,CAD,True,en,2018-10-08,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F000010P27&documenttype=76&market=1452&investmenttype=1&frame=0,2024-04-01,date is not updated in fund universe,173.0,2175
