Strategy Key,ISIN,Extracted Date from TTS DB,Extracted Date from PDF File,Days since last updated from TTS DB,Days since last updated from PDF File,Update Needed?
644853,LU1813982136,1/8/2023,29/4/2024,369,97,YES
644854,LU2100725279,1/8/2023,29/4/2024,369,97,YES
24644,,Date not found in the paragraph,Date not found in the paragraph,,,
24663,,Date not found in the paragraph,Date not found in the paragraph,,,
164925,,Date not found in the paragraph,Date not found in the paragraph,,,
24672,,Date not found in the paragraph,Date not found in the paragraph,,,
45542,LU0225741247,1/4/2023,1/7/2024,491,34,YES
85542,LU1279333675,1/4/2024,1/4/2024,125,125,NO
112247,LU1279334996,1/4/2024,1/4/2024,125,125,NO
758863,LU2675753631,1/4/2024,1/4/2024,125,125,NO
124370,,1/2/2019,Date not found in the paragraph,2011,,YES
124380,,1/2/2019,Date not found in the paragraph,2011,,YES
35297,IE00B283G405,1/3/2024,21/3/2024,156,136,NO
25066,IE00B2478W85,1/3/2024,21/3/2024,156,136,NO
35298,IE00B0MD9K96,1/3/2024,21/3/2024,156,136,NO
756965,IE000W1ABFV2,1/3/2024,21/3/2024,156,136,NO
758887,IE000ITXATA3,1/3/2024,21/3/2024,156,136,NO
760621,IE000KU4M5R1,1/3/2024,21/3/2024,156,136,NO
756966,IE0004WJOWO1,1/3/2024,21/3/2024,156,136,NO
45562,IE00B138GV00,1/3/2024,21/3/2024,156,136,NO
27985,IE00B0C18065,1/3/2024,21/3/2024,156,136,NO
18085,IE00B1D7YK27,1/3/2024,21/3/2024,156,136,NO
9950,IE00B193MK07,1/3/2024,21/3/2024,156,136,NO
21041,IE00B464Q616,1/3/2024,21/3/2024,156,136,NO
36516,IE00B3QS5W57,1/3/2024,21/3/2024,156,136,NO
35268,IE00B0MD9S72,1/3/2024,21/3/2024,156,136,NO
12298,IE00B11XYX59,1/3/2024,21/3/2024,156,136,NO
18089,IE00B3DD5P64,1/3/2024,21/3/2024,156,136,NO
35271,IE00B1FZR162,1/3/2024,10/1/2024,156,207,YES
12300,IE00B11XZ210,1/3/2024,21/3/2024,156,136,NO
68515,IE00BH6XX464,1/3/2024,21/3/2024,156,136,NO
22905,IE00B2R34T20,1/3/2024,21/3/2024,156,136,NO
18091,IE00B3K7XK29,1/3/2024,21/3/2024,156,136,NO
68517,IE00BH6XX795,1/3/2024,21/3/2024,156,136,NO
28826,IE0033386453,1/3/2024,21/3/2024,156,136,NO
10648,IE0034085260,1/3/2024,21/3/2024,156,136,NO
12301,IE00B11XZ657,1/3/2024,21/3/2024,156,136,NO
35294,IE00B0MD9N28,1/3/2024,21/3/2024,156,136,NO
65732,IE00BJMZC096,1/3/2024,21/3/2024,156,136,NO
45597,IE00B7KFL990,1/3/2024,21/3/2024,156,136,NO
50023,IE00B92ZW543,1/3/2024,21/3/2024,156,136,NO
694499,IE000WYGJ8R2,1/3/2024,21/3/2024,156,136,NO
67999,IE00BF01VX72,1/3/2024,21/3/2024,156,136,NO
23501,IE00B8K7V925,1/3/2024,21/3/2024,156,136,NO
45598,IE00B8N0MW85,1/3/2024,21/3/2024,156,136,NO
66321,IE00BD8DFW88,1/3/2024,21/3/2024,156,136,NO
10651,IE00B0M2Y900,1/3/2024,21/3/2024,156,136,NO
10649,IE00B11XZ988,1/3/2024,21/3/2024,156,136,NO
36459,LU0182655596,1/10/2012,1/10/2012,4325,4325,NO
36488,LU0182656214,1/10/2012,1/10/2012,4325,4325,NO
27977,LU0255977455,1/5/2011,31/5/2011,4844,4814,NO
35175,LU0190161025,1/5/2011,31/5/2011,4844,4814,NO
16150,LU0090689299,1/5/2011,31/5/2011,4844,4814,NO
18071,LU0280430660,1/9/2023,1/4/2024,338,125,YES
18070,LU0280435388,1/9/2023,1/4/2024,338,125,YES
27978,LU0255798109,1/9/2023,1/4/2024,338,125,YES
36548,LU0340553949,1/9/2023,1/4/2024,338,125,YES
35185,LU0280437673,1/9/2023,1/4/2024,338,125,YES
309951,LU0503633330,1/9/2023,1/4/2024,338,125,YES
35190,LU0503631714,1/9/2023,1/4/2024,338,125,YES
18075,LU0217139020,1/9/2023,1/4/2024,338,125,YES
8472,LU0280433847,1/9/2023,1/4/2024,338,125,YES
36496,LU0552610593,1/9/2023,1/4/2024,338,125,YES
18078,LU0338482267,1/4/2021,1/9/2023,1221,338,YES
35243,LU0338483075,1/4/2021,1/9/2023,1221,338,YES
18081,LU0340557775,1/9/2023,1/4/2024,338,125,YES
35247,LU0372507243,1/9/2023,1/4/2024,338,125,YES
18080,LU0340559557,1/9/2023,1/4/2024,338,125,YES
8475,LU0255980327,1/9/2023,1/4/2024,338,125,YES
36425,LU0385405567,1/9/2023,1/4/2024,338,125,YES
8473,LU0104884860,1/9/2023,1/4/2024,338,125,YES
186980,HK0000304821,1/4/2024,1/7/2024,125,34,YES
364321,HK0000304813,1/4/2024,1/7/2024,125,34,YES
362473,HK0000304805,1/4/2024,1/7/2024,125,34,YES
362468,HK0000304797,1/4/2024,1/7/2024,125,34,YES
722113,HK0000943107,1/4/2024,1/7/2024,125,34,YES
722224,HK0000943115,1/4/2024,1/7/2024,125,34,YES
36512,LU0325328614,1/7/2020,24/7/2020,1495,1472,NO
18074,LU0325327723,1/7/2020,24/7/2020,1495,1472,NO
36397,LU0476845283,1/7/2020,24/7/2020,1495,1472,NO
50024,,Date not found in the paragraph,Date not found in the paragraph,,,
731953,LU2538405874,1/6/2023,30/4/2024,430,96,YES
56330,LU1883866441,1/6/2023,30/4/2024,430,96,YES
731731,LU2538405957,1/6/2023,30/4/2024,430,96,YES
731730,LU2462611646,1/6/2023,30/4/2024,430,96,YES
731733,LU2498475776,1/6/2023,30/4/2024,430,96,YES
19624,LU0269888532,1/4/2019,30/9/2019,1952,1770,YES
15719,LU0232504117,1/4/2019,30/9/2019,1952,1770,YES
59571,HK0000311743,1/4/2022,28/3/2024,856,129,YES
21053,HK0000081932,1/4/2022,28/3/2024,856,129,YES
21052,HK0000081874,1/4/2022,28/3/2024,856,129,YES
45761,HK0000081858,1/4/2022,28/3/2024,856,129,YES
